Author_1,Author_2,Weight
L.I.,Wang,2
Liu,Wang,6
Liu,Zhang,3
Q.I.,Wang,2
Qin,Wang,3
Wang,Wang,5
Wang,Zhang,7
Liu,Zhu,2
Choi,Wetzstein,2
Chen,N.-S.,2
Dai,Hong,2
Dai,Zheng,2
Hong,Zheng,2
Abd-alrazaq,Ahmed,2
Abd-alrazaq,Aziz,2
Abd-alrazaq,Sheikh,2
Ahmed,Aziz,2
Ahmed,Sheikh,2
Aziz,Sheikh,2
A.K.,Wang,2
Bashir,Wang,2
Cai,Wang,2
Wang,Wen,2
Wang,Yang,3
Kumar,Singh,2
A.N.,Christodoulou,2
Alhussein,Christodoulou,2
Almarcha-Menargues,Christodoulou,2
Alves,Christodoulou,2
Anastasopoulos,Christodoulou,2
Bensenousi,Christodoulou,2
Brisimi,Christodoulou,2
Carnide,Christodoulou,2
Chairta,Christodoulou,2
Charisis,Christodoulou,2
Chatzichristos,Christodoulou,2
Chatzis,Christodoulou,2
Christodoulou,Clareborn,2
Christodoulou,D.M.,2
Christodoulou,Damkali,2
Christodoulou,Dias,2
Christodoulou,Dimitrakopoulos,2
Christodoulou,Dimitropoulos,2
Christodoulou,Drif,2
Christodoulou,Drivas,2
Christodoulou,Fabbri,2
Christodoulou,Falkenburger,2
Christodoulou,Feige,2
Christodoulou,Gerasimou,2
Christodoulou,Giaralis,2
Christodoulou,Goetz,2
Christodoulou,Grammalidis,2
Christodoulou,Hadjidimitriou,2
Christodoulou,Hadjileontiadis,2
Christodoulou,Huts,2
Christodoulou,Kakasis,2
Christodoulou,Kurtis,2
Christodoulou,L.J.,2
Christodoulou,Leipuviene,2
Christodoulou,Luckhaus,2
Christodoulou,Lyreskog,2
Christodoulou,M.-L.,2
Christodoulou,M.M.,2
Christodoulou,Matzakou,2
Christodoulou,Melanitis,2
Christodoulou,Michagiannis,2
Christodoulou,Michailidou,2
Christodoulou,Miouglou,2
Christodoulou,Moustaklis,2
Christodoulou,N.D.,2
Christodoulou,O.S.,2
Christodoulou,P.-S.,2
Christodoulou,Rascol,2
Christodoulou,Riggare,2
Christodoulou,Roussis,2
Christodoulou,Rybicka,2
Christodoulou,S.B.,2
Christodoulou,Saad,2
Christodoulou,Schnalke,2
Christodoulou,Scott Duncan,2
Christodoulou,Solino,2
Christodoulou,Sotirakis,2
Christodoulou,Strypsteen,2
Christodoulou,Sznajder,2
Christodoulou,T.S.,2
Christodoulou,Tavakoli,2
Christodoulou,Vasilakis,2
Christodoulou,Wang,2
Christodoulou,Zamba-Papanicolaou,2
Christodoulou,Zaras,2
Christodoulou,Zarifi,2
Christodoulou,Zogopoulou,2
Christodoulou,de Vos,2
Christodoulou,del Campo,2
Dengel,Ishimaru,2
Dengel,Watanabe,2
Ishimaru,Watanabe,2
Liu,Song,2
Liu,Xiao,2
Choi,Lee,6
Kim,Lee,2
Cheng,Wang,2
Cheng,Wei,2
Dong,Wang,3
Dong,Zhang,3
Peng,Wang,2
Wang,Wei,2
Wang,Zhao,2
Lin,Tsai,2
C.-W.,Huang,2
C.-W.,Y.-C.,2
Chang,Huang,3
Chang,Lin,2
Chang,Y.-C.,2
Chen,Huang,4
Chen,Wei,2
Cheng,Huang,2
Huang,I.-L.,2
Huang,K.-C.,2
Huang,Lin,3
Huang,N.-S.,2
Huang,W.-L.,2
Huang,Wei,3
Huang,Y.-C.,3
Lin,Y.-C.,2
Ramasamy Ramamurthy,Roy,2
Chen,Liang,3
Chen,Wang,2
H.-B.,Lee,2
J.-W.,Lee,2
Lee,Lee,4
Lee,Leem,2
Lee,S.-W.,2
Lee,Seo,2
Lee,Son,2
Majumdar,Ogata,4
Majumdar,Yang,4
Ogata,Yang,4
A.E.M.,Herrera,2
A.J.A.,Herrera,2
C.F.C.,Herrera,2
C.O.,Herrera,2
Candela,Herrera,2
Cruz,Herrera,2
Cruz-Gómez,Herrera,2
D.M.,Herrera,2
Diaz,Herrera,2
E.A.D.,Herrera,2
E.A.G.,Herrera,2
Espinosa,Herrera,2
G.P.,Herrera,2
Gutiérrez-Flores,Herrera,2
Hernandez,Herrera,2
Herrera,J.D.J.L.,2
Herrera,J.E.M.,2
Herrera,Jimenez,2
Herrera,K.L.R.,2
Herrera,L.O.S.,2
Herrera,Lozoya-Santos,2
Herrera,M.A.R.,2
Herrera,M.O.C.,2
Herrera,Mendoza,2
Herrera,R.A.R.,2
Herrera,Ramirez,2
Herrera,Ramirez-Moreno,2
Herrera,Romo,2
Herrera,Ruiz,2
Herrera,S.X.C.,2
Caillaud,Yacef,2
Liu,Zhi,2
Tai,Zhang,2
Zhang,Zhang,2
D.H.,Lee,3
H.D.,Lee,3
Hwang,Lee,3
K.M.,Lee,3
Lee,Park,4
Lee,S.E.,3
Lee,Yoon,3
Fujihashi,Oshima,2
Nagano,Oshima,2
Ohira,Oshima,2
Oshima,Saruwatari,2
Oshima,Watanabe,2
Oshima,Yamaguchi,2
Flanagan,Majumdar,2
Flanagan,Ogata,2
Flanagan,Yang,2
Graft,Romine,2
Graft,Schroeder,2
