Author,Publications,Latest Paper 1,Latest Paper 2,Latest Paper 3
Wang,22,Intelligent optimization of track and field teaching using machine learning and wearable sensors,Intelligent optimization of track and field teaching using machine learning and wearable sensors,A hybrid q-rung linear diophantine fuzzy WASPAS approach for artificial intelligence algorithm selection in physical education
Zhang,19,Intelligent optimization of track and field teaching using machine learning and wearable sensors,Investigation of physical education classroom teaching using AHP with IV-CIFS-based aggregation operators,A hybrid q-rung linear diophantine fuzzy WASPAS approach for artificial intelligence algorithm selection in physical education
Chen,11,Integrating AI-Driven Wearable Metaverse Technologies into Ubiquitous Blended Learning: A Framework Based on Embodied Interaction and Multi-Agent Collaboration,Research on the application technology of Artificial Intelligence in college physical education and training,The Effects of the Badminton Teaching-Assisted System Using Electromyography and Gyroscope on Learners' Badminton Skills
Liu,11,Optimization of intelligent physical education teaching method based on fuzzy logic and virtual reality,Intelligent optimization of track and field teaching using machine learning and wearable sensors,Detecting Psychological Stress in Online Learning Environments via Secure Multimodal Behavioral Analysis
Yang,10,Consumer Electronics and GenAI Providing User Experiences in Mental Health,Sports and education integration tennis player selection and personalized training path planning based on artificial intelligence technology,Modeling Feedback for Self-Direction Skills in K-12 Educational Settings with Learning and Physical Activity Data
Lee,8,Full-colour 3D holographic augmented-reality displays with metasurface waveguides,A metaverse Avatar Teleport System Using an AIoT Pose Estimation Device,A metaverse Avatar Teleport System Using an AIoT Pose Estimation Device
Kim,7,A hybrid q-rung linear diophantine fuzzy WASPAS approach for artificial intelligence algorithm selection in physical education,Emerging technologies enhancing ERAS in spine surgery,Developments in Digital Wearable in Heart Failure and the Rationale for the Design of TRUE-HF (Ted Rogers Understanding of Exacerbations in Heart Failure) Apple CPET Study
Huang,7,"Enhancing taekwondo training with modern technologies: the role of AI, ICT, and wearable devices in learning outcomes",The Effects of the Badminton Teaching-Assisted System Using Electromyography and Gyroscope on Learners' Badminton Skills,The Effects of the Badminton Teaching-Assisted System Using Electromyography and Gyroscope on Learners' Badminton Skills
Tan,5,Randomized controlled trials of digital health interventions for rheumatic disease management: a systematic review; Essais contrôlés randomisés d’interventions de santé numérique pour la gestion des maladies rhumatismales: revue systématique; Ensayos controlados aleatorizados de intervenciones de salud digital para el manejo de enfermedades reumáticas: una revisión sistemática,Application of Art-Based Knowledge Management in Preschool Education: Promoting Children's Cognitive Development and Knowledge Creation,Are You With Us? A Real-Time Engagement Analytics with Machine Learning in Online Learning Environments
Choi,5,Synthetic aperture waveguide holography for compact mixed-reality displays with large étendue,"Convergence of Extended Reality, Artificial Intelligence, Machine Leaning, and Wearable Sensors in the Field of Education",Full-colour 3D holographic augmented-reality displays with metasurface waveguides
M.S.,5,Enhancing engineering student engagement and learning outcomes through WebVR and wearable sensor integration with immersive learning,Role of digital technology in epidemic control: A scoping review on COVID-19 and Ebola,A systematic review of emotion recognition using cardio-based signals
Wong,5,Digital technology in occupational health of manufacturing industries: a systematic literature review,Feature Engineering Workflow for Activity Recognition from Synchronized Inertial Measurement Units,A multi-sensor framework for personal presentation analytics
Sharma,5,The Future of Education: How IoT Enhances Teaching and Learning,Predictive Analytics for Injury Prevention in Physical Education Using Machine Learning Models,Wearable Sensing and Quantified-self to explain Learning Experience
Ciolacu,5,Education 4.0: Artificial Intelligence Assisted Task- and Time Planning System,"Education 4.0: Smart Blended Learning Assisted by Artificial Intelligence, Biofeedback and Sensors",Education 4.0 - Jump to Innovation with IoT in Higher Education
M.J.,5,Wearable sensors in Industry 4.0: Preventing work-related musculoskeletal disorders,Innovative technologies to address neglected tropical diseases in African settings with persistent sociopolitical instability,Leveraging Collaborative-Filtering for Personalized Behavior Modeling
S.K.,4,Leveraging deep feature learning for wearable sensors based handwritten character recognition,Design and Behavioral Analysis of Students during Examinations using Distributed Machine Learning,IoT for smart learning/education
A.K.,4,Emerging technologies enhancing ERAS in spine surgery,Consumer Electronics and GenAI Providing User Experiences in Mental Health,Enhancing Sign Language Detection using Tensor Flow
Singh,4,Evidence-Based Interventions and Functional Outcomes for Return to Sport After ACL Reconstruction: A Systematic Review and Meta-analysis,Evidence-Based Interventions and Functional Outcomes for Return to Sport After ACL Reconstruction: A Systematic Review and Meta-analysis,Leveraging deep feature learning for wearable sensors based handwritten character recognition
Zhao,4,An intelligent self-powered life jacket system integrating multiple triboelectric fiber sensors for drowning rescue,Characterising Individual-Level Collaborative Learning Behaviours Using Ordered Network Analysis and Wearable Sensors,Application of Digital Twin Combined with Artificial Intelligence and 5G Technology in the Art Design of Digital Museums
Park,4,Are You With Us? A Real-Time Engagement Analytics with Machine Learning in Online Learning Environments,Prediction of good sleep with physical activity and light exposure: a preliminary study,Body Worn Sensors for Health Gaming and e-Learning in Virtual Reality
