Source title,Count
Lecture Notes in Computer Science,12
Communications in Computer and Information Science,9
CEUR Workshop Proceedings,8
Sensors,8
IEEE Access,6
Scientific Reports,4
Procedia Computer Science,4
Lecture Notes in Networks and Systems,3
ACM International Conference Proceeding Series,3
"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",3
Sustainability (Switzerland),3
MCB Molecular and Cellular Biomechanics,3
Computers and Education,2
Applied Mathematics and Nonlinear Sciences,2
IEEE Transactions on Learning Technologies,2
